Size,Swaps,Pattern
14,5,0 1 2 3 4 5 6 7 8 9 12 13 11 10
14,6,0 1 2 3 4 5 6 7 8 9 13 12 11 10
14,7,0 1 2 3 4 5 6 7 8 10 13 12 11 9
14,8,0 1 2 3 4 5 6 7 8 11 13 12 10 9
14,9,0 1 2 3 4 5 6 7 8 12 13 11 10 9
14,10,0 1 2 3 4 5 6 7 8 13 12 11 10 9
14,11,0 1 2 3 4 5 6 7 9 13 12 11 10 8
14,12,0 1 2 3 4 5 6 7 10 13 12 11 9 8
14,13,0 1 2 3 4 5 6 7 11 13 12 10 9 8
14,14,0 1 2 3 4 5 6 7 12 13 11 10 9 8
14,15,0 1 2 3 4 5 6 7 13 12 11 10 9 8
14,16,0 1 2 3 4 5 6 8 13 12 11 10 9 7
14,17,0 1 2 3 4 5 6 9 13 12 11 10 8 7
14,18,0 1 2 3 4 5 6 10 13 12 11 9 8 7
14,19,0 1 2 3 4 5 6 11 13 12 10 9 8 7
14,20,0 1 2 3 4 5 6 12 13 11 10 9 8 7
14,21,0 1 2 3 4 5 6 13 12 11 10 9 8 7
14,22,0 1 2 3 4 5 7 13 12 11 10 9 8 6
14,23,0 1 2 3 4 5 8 13 12 11 10 9 7 6
14,24,0 1 2 3 4 5 9 13 12 11 10 8 7 6
14,25,0 1 2 3 4 5 10 13 12 11 9 8 7 6
14,26,0 1 2 3 4 5 11 13 12 10 9 8 7 6
14,27,0 1 2 3 4 5 12 13 11 10 9 8 7 6
14,28,0 1 2 3 4 5 13 12 11 10 9 8 7 6
14,29,0 1 2 3 4 6 13 12 11 10 9 8 7 5
14,30,0 1 2 3 4 7 13 12 11 10 9 8 6 5
14,31,0 1 2 3 4 8 13 12 11 10 9 7 6 5
14,32,0 1 2 3 4 9 13 12 11 10 8 7 6 5
14,33,0 1 2 3 4 10 13 12 11 9 8 7 6 5
14,34,0 1 2 3 4 11 13 12 10 9 8 7 6 5
14,35,0 1 2 3 4 12 13 11 10 9 8 7 6 5
14,36,0 1 2 3 4 13 12 11 10 9 8 7 6 5
14,37,0 1 2 3 5 13 12 11 10 9 8 7 6 4
14,38,0 1 2 3 6 13 12 11 10 9 8 7 5 4
14,39,0 1 2 3 7 13 12 11 10 9 8 6 5 4
14,40,0 1 2 3 8 13 12 11 10 9 7 6 5 4
14,41,0 1 2 3 9 13 12 11 10 8 7 6 5 4
14,42,0 1 2 3 10 13 12 11 9 8 7 6 5 4
14,43,0 1 2 3 11 13 12 10 9 8 7 6 5 4
14,44,0 1 2 3 12 13 11 10 9 8 7 6 5 4
14,45,0 1 2 3 13 12 11 10 9 8 7 6 5 4
14,46,0 1 2 4 13 12 11 10 9 8 7 6 5 3
14,47,0 1 2 5 13 12 11 10 9 8 7 6 4 3
14,48,0 1 2 6 13 12 11 10 9 8 7 5 4 3
14,49,0 1 2 7 13 12 11 10 9 8 6 5 4 3
14,50,0 1 2 8 13 12 11 10 9 7 6 5 4 3
15,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
15,1,0 1 2 3 4 5 6 7 8 9 10 11 12 14 13
15,2,0 1 2 3 4 5 6 7 8 9 10 11 13 14 12
15,3,0 1 2 3 4 5 6 7 8 9 10 11 14 13 12
15,4,0 1 2 3 4 5 6 7 8 9 10 12 14 13 11
15,5,0 1 2 3 4 5 6 7 8 9 10 13 14 12 11
15,6,0 1 2 3 4 5 6 7 8 9 10 14 13 12 11
15,7,0 1 2 3 4 5 6 7 8 9 11 14 13 12 10
15,8,0 1 5 2 3 4 7 8 9 6 11 10 13 12 14
15,9,0 1 2 3 4 5 6 7 8 9 13 14 12 11 10
15,10,0 1 2 3 4 5 6 7 8 9 14 13 12 11 10
15,11,0 1 2 3 4 5 6 7 8 10 14 13 12 11 9
15,12,0 1 2 3 4 5 6 7 8 11 14 13 12 10 9
15,13,0 1 2 3 4 5 6 7 8 12 14 13 11 10 9
15,14,0 1 2 3 4 5 6 7 8 13 14 12 11 10 9
15,15,0 1 2 3 4 5 6 7 8 14 13 12 11 10 9
15,16,0 1 2 3 4 5 6 7 9 14 13 12 11 10 8
15,17,0 1 2 3 4 5 6 7 10 14 13 12 11 9 8
15,18,0 1 2 3 4 5 6 7 11 14 13 12 10 9 8
15,19,0 1 2 3 4 5 6 7 12 14 13 11 10 9 8
15,20,0 1 2 3 4 5 6 7 13 14 12 11 10 9 8
15,21,0 1 2 3 4 5 6 7 14 13 12 11 10 9 8
15,22,0 1 2 3 4 5 6 8 14 13 12 11 10 9 7
15,23,0 1 2 3 4 5 6 9 14 13 12 11 10 8 7
15,24,0 1 2 3 4 5 6 10 14 13 12 11 9 8 7
15,25,0 1 2 3 4 5 6 11 14 13 12 10 9 8 7
15,26,0 1 2 3 4 5 6 12 14 13 11 10 9 8 7
15,27,0 1 2 3 4 5 6 13 14 12 11 10 9 8 7
15,28,0 1 2 3 4 5 6 14 13 12 11 10 9 8 7
15,29,0 1 2 3 4 5 7 14 13 12 11 10 9 8 6
15,30,0 1 2 3 4 5 8 14 13 12 11 10 9 7 6
15,31,0 1 2 3 4 5 9 14 13 12 11 10 8 7 6
15,32,0 1 2 3 4 5 10 14 13 12 11 9 8 7 6
15,33,0 1 2 3 4 5 11 14 13 12 10 9 8 7 6
15,34,0 1 2 3 4 5 12 14 13 11 10 9 8 7 6
15,35,0 1 2 3 4 5 13 14 12 11 10 9 8 7 6
15,36,0 1 2 3 4 5 14 13 12 11 10 9 8 7 6
15,37,0 1 2 3 4 6 14 13 12 11 10 9 8 7 5
15,38,0 1 2 3 4 7 14 13 12 11 10 9 8 6 5
15,39,0 1 2 3 4 8 14 13 12 11 10 9 7 6 5
15,40,0 1 2 3 4 9 14 13 12 11 10 8 7 6 5
15,41,0 1 2 3 4 10 14 13 12 11 9 8 7 6 5
15,42,0 1 2 3 4 11 14 13 12 10 9 8 7 6 5
15,43,0 1 2 3 4 12 14 13 11 10 9 8 7 6 5
15,44,0 1 2 3 4 13 14 12 11 10 9 8 7 6 5
15,45,0 1 2 3 4 14 13 12 11 10 9 8 7 6 5
15,46,0 1 2 3 5 14 13 12 11 10 9 8 7 6 4
15,47,0 1 2 3 6 14 13 12 11 10 9 8 7 5 4
15,48,0 1 2 3 7 14 13 12 11 10 9 8 6 5 4
15,49,0 1 2 3 8 14 13 12 11 10 9 7 6 5 4
15,50,0 1 2 3 9 14 13 12 11 10 8 7 6 5 4
16,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
16,1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 14
16,2,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 13
16,3,0 1 2 3 4 5 6 7 8 9 10 11 12 15 14 13
16,4,0 1 2 3 4 5 6 7 8 9 10 11 13 15 14 12
16,5,0 1 2 3 4 5 6 7 8 9 10 11 14 15 13 12
16,6,0 1 2 3 4 5 6 7 8 9 10 11 15 14 13 12
16,7,0 1 2 3 4 5 6 7 8 9 10 12 15 14 13 11
16,8,0 1 2 3 4 5 6 7 8 9 10 13 15 14 12 11
16,9,0 1 2 3 4 5 6 7 8 9 10 14 15 13 12 11
16,10,0 1 2 3 4 5 6 7 8 9 10 15 14 13 12 11
16,11,0 1 2 3 4 5 6 7 8 9 11 15 14 13 12 10
16,12,0 1 2 3 4 5 6 7 8 9 12 15 14 13 11 10
16,13,0 1 2 3 4 5 6 7 8 9 13 15 14 12 11 10
16,14,0 1 2 3 4 5 6 7 8 9 14 15 13 12 11 10
16,15,0 1 2 3 4 5 6 7 8 9 15 14 13 12 11 10
16,16,0 1 2 3 4 5 6 7 8 10 15 14 13 12 11 9
16,17,0 1 2 3 4 5 6 7 8 11 15 14 13 12 10 9
16,18,0 1 2 3 4 5 6 7 8 12 15 14 13 11 10 9
16,19,0 1 2 3 4 5 6 7 8 13 15 14 12 11 10 9
16,20,0 1 2 3 4 5 6 7 8 14 15 13 12 11 10 9
16,21,0 1 2 3 4 5 6 7 8 15 14 13 12 11 10 9
16,22,0 1 2 3 4 5 6 7 9 15 14 13 12 11 10 8
16,23,0 1 2 3 4 5 6 7 10 15 14 13 12 11 9 8
16,24,0 1 2 3 4 5 6 7 11 15 14 13 12 10 9 8
16,25,0 1 2 3 4 5 6 7 12 15 14 13 11 10 9 8
16,26,0 1 2 3 4 5 6 7 13 15 14 12 11 10 9 8
16,27,0 1 2 3 4 5 6 7 14 15 13 12 11 10 9 8
16,28,0 1 2 3 4 5 6 7 15 14 13 12 11 10 9 8
16,29,0 1 2 3 4 5 6 8 15 14 13 12 11 10 9 7
16,30,0 1 2 3 4 5 6 9 15 14 13 12 11 10 8 7
16,31,0 1 2 3 4 5 6 10 15 14 13 12 11 9 8 7
16,32,0 1 2 3 4 5 6 11 15 14 13 12 10 9 8 7
16,33,0 1 2 3 4 5 6 12 15 14 13 11 10 9 8 7
16,34,0 1 2 3 4 5 6 13 15 14 12 11 10 9 8 7
16,35,0 1 2 3 4 5 6 14 15 13 12 11 10 9 8 7
16,36,0 1 2 3 4 5 6 15 14 13 12 11 10 9 8 7
16,37,0 1 2 3 4 5 7 15 14 13 12 11 10 9 8 6
16,38,0 1 2 3 4 5 8 15 14 13 12 11 10 9 7 6
16,39,0 1 2 3 4 5 9 15 14 13 12 11 10 8 7 6
16,40,0 1 2 3 4 5 10 15 14 13 12 11 9 8 7 6
16,41,0 1 2 3 4 5 11 15 14 13 12 10 9 8 7 6
16,42,0 1 2 3 4 5 12 15 14 13 11 10 9 8 7 6
16,43,0 1 2 3 4 5 13 15 14 12 11 10 9 8 7 6
16,44,0 1 2 3 4 5 14 15 13 12 11 10 9 8 7 6
16,45,0 1 2 3 4 5 15 14 13 12 11 10 9 8 7 6
16,46,0 1 2 3 4 6 15 14 13 12 11 10 9 8 7 5
16,47,0 1 2 3 4 7 15 14 13 12 11 10 9 8 6 5
16,48,0 1 2 3 4 8 15 14 13 12 11 10 9 7 6 5
16,49,0 1 2 3 4 9 15 14 13 12 11 10 8 7 6 5
16,50,0 1 2 3 4 10 15 14 13 12 11 9 8 7 6 5
17,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
17,1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 15
17,2,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 14
17,3,0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 15 14
17,4,0 1 2 3 4 5 6 7 8 9 10 11 12 14 16 15 13
17,5,0 1 2 3 4 5 6 7 8 9 10 11 12 15 16 14 13
17,6,0 1 2 3 4 5 6 7 8 9 10 11 12 16 15 14 13
17,7,0 1 2 3 4 5 6 7 8 9 10 11 13 16 15 14 12
17,8,0 1 2 3 4 5 6 7 8 9 10 11 14 16 15 13 12
17,9,0 1 2 3 4 5 6 7 8 9 10 11 15 16 14 13 12
17,10,0 1 2 3 4 5 6 7 8 9 10 11 16 15 14 13 12
17,11,0 1 2 3 4 5 6 7 8 9 10 12 16 15 14 13 11
17,12,0 1 2 3 4 5 6 7 8 9 10 13 16 15 14 12 11
17,13,0 1 2 3 4 5 6 7 8 9 10 14 16 15 13 12 11
17,14,0 1 2 3 4 5 6 7 8 9 10 15 16 14 13 12 11
17,15,0 1 2 3 4 5 6 7 8 9 10 16 15 14 13 12 11
17,16,0 1 2 3 4 5 6 7 8 9 11 16 15 14 13 12 10
17,17,0 1 2 3 4 5 6 7 8 9 12 16 15 14 13 11 10
17,18,0 1 2 3 4 5 6 7 8 9 13 16 15 14 12 11 10
17,19,0 1 2 3 4 5 6 7 8 9 14 16 15 13 12 11 10
17,20,0 1 2 3 4 5 6 7 8 9 15 16 14 13 12 11 10
17,21,0 1 2 3 4 5 6 7 8 9 16 15 14 13 12 11 10
17,22,0 1 2 3 4 5 6 7 8 10 16 15 14 13 12 11 9
17,23,0 1 2 3 4 5 6 7 8 11 16 15 14 13 12 10 9
17,24,0 1 2 3 4 5 6 7 8 12 16 15 14 13 11 10 9
17,25,0 1 2 3 4 5 6 7 8 13 16 15 14 12 11 10 9
17,26,0 1 2 3 4 5 6 7 8 14 16 15 13 12 11 10 9
